日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-10-31,デルマー,8,BCJFターフ,2yo Fillies,GI,1609,芝,Firm,晴,スウィッチインラヴ,坂井瑠星,牝2,,12,5,9.8,11,1:37.11,38.9,2.0,,,0,88,矢作芳人,Galileo,海外,重賞
2025-11-02,京都,5,メイクデビュー京都,2歳新馬,,1600,芝,良,晴,カモンレイル,鮫島克駿,牡2,56.0,15,8,26.8,13,1:37.9,36.4,2.0,446,初出走,0,,中竹和也,ウォーエンブレム,中央,条件・未勝利
2025-11-08,京都,2,2歳未勝利,2歳未勝利,,1400,芝,良,晴,アスクウルトラモア,古川奈穂,牡2,53.0,15,12,191.1,14,1:23.6,35.4,2.7,406,-2,0,,矢作芳人,Kendargent,中央,条件・未勝利
2025-11-08,京都,3,2歳未勝利,2歳未勝利,,1800,芝,良,晴,ネッタイヤライ,松山弘平,牡2,56.0,9,2,3.5,1,1:47.2,34.3,-0.1,448,18,5600000,,矢作芳人,キンシャサノキセキ,中央,条件・未勝利
2025-11-08,京都,3,2歳未勝利,2歳未勝利,,1800,芝,良,晴,シティプロスパー,高杉吏麒,牝2,55.0,9,8,181.8,8,1:48.6,35.3,1.4,442,-2,0,,小栗実,City Zip,中央,条件・未勝利
2025-11-08,京都,6,メイクデビュー京都,2歳新馬,,1400,芝,良,晴,ゴッドレイ,松若風馬,牝2,55.0,11,4,7.2,2,1:22.8,35.2,0.1,404,初出走,3000000,,杉山晴紀,ダイワメジャー,中央,条件・未勝利
2025-11-08,福島,1,2歳未勝利,2歳未勝利牝,,1700,ダート,良,晴,ルージュアリスタ,丸山元気,牝2,55.0,14,2,3.5,4,1:48.6,39.1,0.3,496,-2,840000,,宮田敬介,Afleet Alex,中央,条件・未勝利
2025-11-09,京都,3,2歳未勝利,2歳未勝利,,2000,芝,稍重,雨,パウンドフォーワン,坂井瑠星,牡2,56.0,8,5,13.8,3,2:04.6,35.7,0.3,490,2,1400000,,田中克典,Invincible Spirit,中央,条件・未勝利
2025-11-09,京都,3,2歳未勝利,2歳未勝利,,2000,芝,稍重,雨,チェリヴェント,松山弘平,牡2,56.0,8,7,35.1,7,2:05.9,37.1,1.6,500,-2,0,,清水久詞,Successful Appeal,中央,条件・未勝利
2025-11-09,東京,1,2歳未勝利,2歳未勝利牝,,1600,芝,良,小雨,フロンテアムーン,戸崎圭太,牝2,55.0,16,3,8.2,12,1:36.1,35.1,1.2,412,-2,0,,国枝栄,メイショウサムソン,中央,条件・未勝利
